id,dias_desde_ajuizamento,ano_ajuizamento,mes_ajuizamento,eh_segunda,eh_sexta,municipio_fortaleza,qtd_assuntos,tem_tutela_urgencia,tem_obrigacao_fazer,tem_dano_moral,qtd_movimentos,velocidade_movimentos,eh_horario_almoco,complexidade_score,tem_recurso,sentenca_favoravel,texto_decisao,sexo_juiz_bin,sexo_requerente_bin,eh_fornecimento_de_medicamentos,eh_obrigacao_de_fazer__nao_fazer,eh_fraldas,eh_tutela_de_urgencia,eh_tratamento_medico_hospitalar,eh_urgencia,eh_fornecimento_de_insumos,eh_acessao,eh_interdicao,eh_indenizacao_por_dano_moral,eh_direitos_da_personalidade,eh_liminar,eh_nao_padronizado,eh_nomeacao,eh_multa_cominatoria__astreintes,eh_sucumbenciais,eh_competencia_dos_juizados_especiais,eh_assistencia_a_saude,eh_indenizacao_por_dano_material,eh_plano_de_saude,eh_tratamento_da_propria_saude,eh_fazenda_publica,eh_antecipacao_de_tutela__tutela_especifica
11,104,2025,3,0,0,0,2,0,0,0,3,0.0288,0,6,1,1,"Julgado procedente o pedido
Diante do exposto, julgo procedente o pedido formulado pela parte autora, de sorte que extingo o feito, com resolução do mérito, nos termos do art. 487, I, do CPC, para confirmar e tornar definitiva a tutela de urgência deferida às fls. 96/100 e, nesse passo, determinar que a UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA. forneça ao autor, de forma contínua e ininterrupta, o cateter Gentlecath com revestimento hidrofílico, pronto para uso, calibre 12, na quantidade de 8 (oito) unidades por dia, totalizando 240 (duzentas e quarenta) unidades, por mês, enquanto perdurar a necessidade do tratamento, conforme prescrição médica de fls. 25. Devido à sucumbência, condeno a parte promovida ao pagamento das custas e honorários advocatícios, os quais fixo em 10% sobre o valor da causa atualizado. Publique-se. Registre-se. Intimem-se. Após o trânsito em julgado, arquivem-se os presentes autos com as baixas necessárias. Fortaleza/CE, data da assinatura digital. LUCIANO NUNES MAIA FREIRE Juiz de Direito",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,96,2025,3,0,0,1,1,0,0,0,31,0.3229,0,31,0,0,"Julgado improcedente o pedido
Diante do exposto, JULGO IMPROCEDENTE o pedido inicial e, via de consequência, resolvo o mérito com fundamento no art. 487, inciso I, do Código de Processo Civil, para INDEFERIR, em sede definitiva, o fornecimento dos medicamento Canabidiol a autora Ana Clara dos Santos de Moraes, nos termos acima fundamentados. Em decorrência da aplicação do princípio da causalidade, arbitro honorários em desfavor da parte autora a título de honorários no valor de 10% sobre o valor atribuído à causa e, em decorrência da hipossuficiência financeira, na forma do art. 98, §3º, do CPC de 2015, suspendo sua exibilidade pelo prazo de 05(cinco) anos. Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Publique-se. Registre-se. Intime-se.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,138,2025,2,0,0,1,1,0,0,0,33,0.2391,0,33,0,0,"Julgado improcedente o pedido
Diante do exposto, JULGO IMPROCEDENTE o pedido inicial e, via de consequência, resolvo o mérito com fundamento no art. 487, inciso I, do Código de Processo Civil, para INDEFERIR o fornecimento dos medicamento Canabidiol a autora, nos termos acima fundamentados. Em decorrência da aplicação do princípio da causalidade, arbitro honorários em desfavor da parte autora a título de honorários no valor de 10% sobre o valor atribuído à causa e, em decorrência da hipossuficiência financeira, na forma do art. 98, §3º, do CPC de 2015, suspendo sua exibilidade pelo prazo de 05(cinco) anos. Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Publique-se. Registre-se. Intime-se.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,108,2025,2,0,0,1,1,0,0,0,31,0.287,0,31,0,0,"Julgado improcedente o pedido
Diante do exposto, JULGO IMPROCEDENTE o pedido inicial e, via de consequência, resolvo o mérito com fundamento no art. 487, inciso I, do Código de Processo Civil, para INDEFERIR o fornecimento dos medicamento Canabidiol à autora, nos termos acima fundamentados. Em decorrência da aplicação do princípio da causalidade, arbitro honorários em desfavor da parte autora a título de honorários no valor de 10% sobre o valor atribuído à causa e, em decorrência da hipossuficiência financeira, na forma do art. 98, §3º, do CPC de 2015, suspendo sua exigibilidade pelo prazo de 05(cinco) anos. Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Publique-se. Registre-se. Intime-se.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,178,2025,2,0,0,0,1,0,0,0,47,0.264,0,47,1,1,"Julgado procedente o pedido
Isto posto, o mais que dos autos consta e ainda com fundamento nas disposições legais supramencionadas e ainda no art. 490 do CPC, JULGO PROCEDENTE A AÇÃO, para ratificar a decisão interlocutória proferida às fls. 66/69, tornando-a definitiva, pelos seus próprios fundamentos, mantendo a obrigação da promovida para conceder os medicamentos em testilha. Condeno mais a demandada no pagamento das custas processuais e dos honorários advocatícios do causídico constituído pela parte adversa, ora arbitrados em 15% (Quinze por cento) sobre o valor da causa, após atualizado. P.R.I.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,185,2025,2,0,0,1,1,0,0,0,42,0.227,1,42,0,1,"Julgado procedente o pedido
Isso posto, considerando tudo mais que dos autos consta, os princípios de direito aplicáveis ao caso sub judice, JULGO PARCIALMENTE PROCEDENTE o pedido inicial, condenando o MUNICÍPIO DE FORTALEZA na obrigação de fazer consistente no fornecimento à parte autora de FRALDA DESCARTÁVEL - TAMANHO M - ou outro tamanho a ser laudado junto a médico que assiste ou vier assistir a parte autora, sendo 240 (duzentos e quarenta) FRALDAS/MÊS, sem, contudo, vincular a marca específica, mantendo a necessidade de que observem a característica de que sejam hipoalergênicas, no prazo de até 90(noventa) dias, conforme atestam os documentos de fls. 42.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,226,2025,1,1,0,0,1,0,0,0,28,0.1239,0,28,1,1,"Julgado procedente o pedido
Ante o exposto, com fundamento nos normativos supracitados, JULGO PROCEDENTES os pedidos da parte autora, resolvendo o mérito, nos termos do art. 487, I, CPC, para: I) CONFIRMAR a tutela provisória de urgência concedida às fls. 72/76, a qual deferiu o pedido de tutela provisória, determinando que a requerida, no prazo máximo de 5 (cinco) dias, contados da regular intimação desta decisão, autorize/custeie o tratamento prescrito à autora, consistente na disponibilização e aplicação do medicamento Synagis (palivizumabe), na forma prescrita pela profissional responsável (fls. 39/40), sob pena de imposição de multa diária, a qual majoro, nesse momento, para R$ 5.000,00 (cinco mil reais) diários, limitado a 30 (trinta) dias; II) CONDENAR a ré à obrigação de fazer consistente no fornecimento do tratamento médico prescrito às fls. 37/40, isto é, ao fornecimento da aplicação de 5 (cinco doses do medicamento PALIVIZUMABE, com intervalo de 30 (trinta) dias entre cada uma, observando a dose individualizada de 15mg/kg; e III) DETERMINAR a intimação da promovida para, no prazo de 48 (quarenta e oito) horas, contados da sua regular intimação, comprovar o cumprimento da decisão de fls. 72/76, por meio da demonstração do fornecimento integral das doses e quantidades do medicamento apontadas no laudo médico de fls. 39/40, sob pena de aplicação de multa diária de R$ 5.000,00 (cinco mil reais) diária, limitada a 30 (trinta) dias. Condeno a promovida ao pagamento das custas e honorários, estes fixados em R$ 1.000,00 (mil reais), por equidade, nos termos do art. 85, §2º c/c §8º, ambos, do CPC. Ficam as partes advertidas, desde já, que a oposição de embargos de declaração manifestamente protelatórios, isto é, com o intuito de rediscussão/reforma do entendimento aqui firmado sem que haja, efetivamente, algum dos vícios previstos no artigo 1.022 do CPC, poderá ser penalizada por meio da aplicação da multa prevista no §2º, do artigo 1.026, do CPC, haja vista que o meio cabível para eventual modificação do julgado se dá por meio do recurso de ampla cognição. P.R.I. Após o trânsito em julgado, arquivem-se os autos.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,201,2025,1,1,0,0,1,0,0,0,9,0.0448,0,9,1,1,"Julgado procedente o pedido
Ante o exposto, com fundamento nos normativos supracitados, JULGO PROCEDENTES os pedidos da parte autora, resolvendo o mérito, nos termos do art. 487, I, CPC, para: I) CONFIRMAR a tutela provisória de urgência concedida às fls. 72/76, a qual deferiu o pedido de tutela provisória, determinando que a requerida, no prazo máximo de 5 (cinco) dias, contados da regular intimação desta decisão, autorize/custeie o tratamento prescrito à autora, consistente na disponibilização e aplicação do medicamento Synagis (palivizumabe), na forma prescrita pela profissional responsável (fls. 39/40), sob pena de imposição de multa diária, a qual majoro, nesse momento, para R$ 5.000,00 (cinco mil reais) diários, limitado a 30 (trinta) dias; II) CONDENAR a ré à obrigação de fazer consistente no fornecimento do tratamento médico prescrito às fls. 37/40, isto é, ao fornecimento da aplicação de 5 (cinco doses do medicamento PALIVIZUMABE, com intervalo de 30 (trinta) dias entre cada uma, observando a dose individualizada de 15mg/kg; e III) DETERMINAR a intimação da promovida para, no prazo de 48 (quarenta e oito) horas, contados da sua regular intimação, comprovar o cumprimento da decisão de fls. 72/76, por meio da demonstração do fornecimento integral das doses e quantidades do medicamento apontadas no laudo médico de fls. 39/40, sob pena de aplicação de multa diária de R$ 5.000,00 (cinco mil reais) diária, limitada a 30 (trinta) dias. Condeno a promovida ao pagamento das custas e honorários, estes fixados em R$ 1.000,00 (mil reais), por equidade, nos termos do art. 85, §2º c/c §8º, ambos, do CPC. Ficam as partes advertidas, desde já, que a oposição de embargos de declaração manifestamente protelatórios, isto é, com o intuito de rediscussão/reforma do entendimento aqui firmado sem que haja, efetivamente, algum dos vícios previstos no artigo 1.022 do CPC, poderá ser penalizada por meio da aplicação da multa prevista no §2º, do artigo 1.026, do CPC, haja vista que o meio cabível para eventual modificação do julgado se dá por meio do recurso de ampla cognição. P.R.I. Após o trânsito em julgado, arquivem-se os autos.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,140,2025,1,0,0,0,3,0,1,0,35,0.25,0,105,1,1,"Julgado procedente o pedido
Isso posto, considerando tudo mais que dos autos consta, os princípios de direito aplicáveis ao caso sub judice, JULGO PROCEDENTE o pedido inicial, condenando o MUNICÍPIO DE FORTALEZA na obrigação de fazer consistente no fornecimento à parte autora de FORMÚLA HIDROLISADA SEM LACTOSE PARA CRIANÇA DE 1 A 10 ANOS- PEPTAMEN JÚNIOR - 17 LATAS DE 400G/MÊS; NUTRINI PEPTI 56 PACKS DE 500ML/MÊS; FRASCO DE DIETA ENTERAL (ENTEROFIX): 31 UNIDADES/MÊS; EQUIPO PARA DIETA ENTERAL (MAGROGOTAS): 31 UNIDADES/MÊS; SERINGA DESCARTÁVEL DE 20 ML SEM AGULHA - 31 UNIDADES/MÊS - conforme a prescrição médica, em termos de quantidade e especificações, tudo sem a obrigatoriedade de vinculação a uma marca específica (conforme previsto no art. 3.º, § 2.º da Lei nº 9.787), contudo, mantendo o mesmo padrão nutricional indicado pelo médico assistente, dentro do prazo máximo de 90 (noventa) dias, conforme comprova o documento presente nas fls. 39-40, resolvendo o processo, com julgamento de mérito.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,140,2025,1,0,0,0,1,0,0,0,42,0.3,0,42,1,1,"Julgado procedente o pedido
Em face do exposto, resolvo o mérito da vexata quaestio, o que faço com base no art. 487, I, do CPC, para JULGAR PROCEDENTE o pedido, nos seguintes termos: 1) CONFIRMO a liminar concedida às fls. 44/50, ordem a determinar à promovida que autorize e arque com o fornecimento dos medicamentos PEMBROLIZUMABE (Keytruda) e LENVIMA, na forma e pelo período prescrito pela médico assistente nos relatórios médicos de fls. 30 e 31; b) CONDENO o promovido ao pagamento de indenização, a título de danos morais, no valor de R$ 4.000,00 (quatro mil reais), corrigidos monetariamente a partir dessa data, com base na variação do Índice Nacional de Preços ao Consumidor - INPC, da Fundação IBGE, e acrescidos de juros de mora de 1% ao mês, a contar da citação (31/10/2023). Condeno o promovido ao pagamento de custas processuais e de honorários advocatícios, arbitrados em 10% sobre o valor da condenação. P. R. I. Certificado o trânsito em julgado e verificado o não pagamento de custas processuais pelo promovido no prazo de 15 dias a contar do trânsito - o que também deverá ser certificado nos autos -, oficiar à Fazenda Pública Estadual para fins de inscrição na dívida ativa, devendo o ofício seguir acompanhado de cópia da sentença, da certidão de trânsito em julgado e da certidão de não pagamento. Empós, arquivem-se os autos.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,174,2024,12,0,0,0,1,0,0,0,11,0.0632,0,11,1,0,"Julgado improcedente o pedido
Ante o exposto, julgo parcialmente procedentes os pedidos autorais, o que faço com resolução do mérito, para: a) Condenar o Requerido ao fornecimento do tratamento multidisciplinar pleiteado, consistente em: a) fonoaudiologia; b) terapia ocupacional; c) psicomotricidade relacional; d) psicologia comportamental; e) musicoterapia; e f) consulta com neuro pediatra a cada seis meses, todos a ser realizados por profissionais credenciados à rede da empresa Requerida; b) Condenar Autor e Requerido no pagamento das custas e honorários sucumbenciais, estes que desde já arbitro em 10% sobre o valor total da condenação, a ser distribuídos no percentual de 30% para o Requerido e 70% para o Autor, conforme art. 86, caput, CPC/15; Uma vez da presente decisão se encontrar registrada e publicada eletronicamente, intimem-se as partes para os devidos fins de direito. Transitada em julgado, proceda à SEJUD de 1º Grau o arquivamento dos presentes autos no respectivo sistema.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,218,2024,12,0,0,0,2,0,1,0,45,0.2064,0,90,1,0,"Julgado improcedente o pedido
Isso posto, considerando tudo mais que dos autos consta, levando em conta, ainda, o entendimento já adotado por este juízo em ações desta natureza, bem como que à parte autora é disponibilizado remédio constante a lista SUS, ausentes os requisitos fixados no REsp 1.657.156, mantenho a decisão de fls. 51-59 e JULGO IMPROCEDENTE o pedido contido na inicial. Observem as partes que, em caso de eventual recurso, o prazo deve ser o adotado pelo Estatuto da Criança e do Adolescente, portanto 10(dez) dias, diferente do prazo contido no Novo Código de Processo Civil. Arbitro honorários em favor da Procuradoria do demandado em 10%(dez por cento) sobre o valor da causa. Considerando a hipossuficiência da parte (fls. 23-24), suspendo a exigibilidade pelo prazo de até 05(cinco) anos, findo o qual, não podendo satisfazer tal pagamento, a obrigação estará prescrita (art. 98, §§ 2.º e 3.º do CPC). Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Cientifiquem-se. Publique-se. Registre-se. Intime-se.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,260,2024,11,0,1,0,2,0,0,0,33,0.1269,0,66,1,0,"Julgado improcedente o pedido
Diante do exposto, com fulcro no art. 487, inc. I, do CPC, JULGO IMPROCEDENTE a ação, extinguindo o processo com resolução do mérito, revogando os efeitos da decisão interlocutória de fls. 65/69. Condeno a parte autora ao pagamento das custas processuais e dos honorários advocatícios, os quais fixo em 10% (dez por cento) sobre o valor da causa. A verba de sucumbência, porém, fica sob condição suspensiva de exigibilidade, em virtude da concessão da gratuidade judiciária (art. 98, § 3º, do CPC). Publique-se, registre-se. Intimem-se as partes pelo DJe. Após o trânsito em julgado, ARQUIVEM-SE os autos.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,245,2024,11,0,1,1,1,0,0,0,50,0.2041,0,50,0,0,"Julgado improcedente o pedido
Os requisitos do Tema 6 do STF também estão ausentes. Ante o exposto, JULGO IMPROCEDENTE o pedido formulado na presente ação, nos termos da fundamentação, extinguindo o feito com resolução do mérito, nos termos do art. 487, inciso I, do CPC. Condeno a parte autora ao pagamento das custas processuais e honorários advocatícios, os quais fixo em 10% (dez por cento) sobre o valor da causa, nos termos do art. 85, §2º, do CPC. Todavia, suspendo a exigibilidade da verba sucumbencial, nos termos do art. 98, §3º, do CPC, em razão da concessão dos benefícios da gratuidade da justiça, ressalvando-se a possibilidade de futura cobrança caso demonstrada a melhoria da condição financeira da parte autora. Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Cientifiquem-se. Publique-se. Registre-se. Intime-se.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
